Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0597176388871317","-2,21514952908342E-09","0,0432014783103323",0,0,0,"7,6451763291456","0,168439329083486","-1,08629887891622E-05","0,0407415251600241","0,481545696094267","5,75369711790317E-08","0,541121238422161",0,0,0,0,0,0,package://rover_21_description/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover_21_description/meshes/base_link.STL,,Gövde-1;Bacaklar-1;Bacaklar-2,Koordinat Sistemi1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_link,"-0,0755097276903981","0,000138247434987249","-4,79303458726932E-05",0,0,0,"1,15731252096219","0,0178302511822237","-2,09274363582099E-06","1,4204407926078E-06","0,00968270185063617","1,80036299754407E-06","0,00969344166305502",0,0,0,0,0,0,package://rover_21_description/meshes/left_front_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover_21_description/meshes/left_front_link.STL,,Motor yatak-1;Kauçukv1-1;dıskapak-1;jant-2;jant-1,Origin_left_front_joint,Axis_left_front_joint,left_front_joint,continuous,"0,353294657130572","0,3625","-0,154224967578181","-2,0786047357804",0,"-1,5707963267949",base_link,1,0,0,,,,,,,,,,,,
right_front_link,"-2,84518155616587E-05","0,00014352757758429","-0,0754466264782706",0,0,0,"1,15731252096219","0,00969372906416445","2,68465121779082E-07","-1,11897159373537E-06","0,00968241444952688","2,26828802029305E-06","0,0178302511822238",0,0,0,0,0,0,package://rover_21_description/meshes/right_front_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover_21_description/meshes/right_front_link.STL,,Kauçukv1-2;jant-3;jant-4;dıskapak-2;Motor yatak-2,Origin_right_front_joint,Axis_right_front_joint,right_front_joint,continuous,"0,353351994708173","-0,3625","-0,154125745497893","-1,5707963267949","0,966931818667219",0,base_link,0,0,1,,,,,,,,,,,,
left_rear_link,"-2,8451815541175E-05","0,000143527577594393","0,0755097276903982",0,0,0,"1,15731252096219","0,00969372906416443","2,6846512179334E-07","-1,11897159373079E-06","0,00968241444952685","2,26828802029616E-06","0,0178302511822237",0,0,0,0,0,0,package://rover_21_description/meshes/left_rear_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover_21_description/meshes/left_rear_link.STL,,Kauçukv1-4;jant-9;jant-8;dıskapak-4;Motor yatak-4,Origin_left_rear_joint,Axis_left_rear_joint,left_rear_joint,continuous,"-0,355493804489844","0,3625","-0,150372421028072","1,5707963267949","1,53320191104535","3,14159265358979",base_link,0,0,1,,,,,,,,,,,,
right_rear_link,"-2,84515837579713E-05","0,000143527620351219","-0,0754466264782706",0,0,0,"1,15731252096219","0,00969372911382251","2,68439980844609E-07","-1,11897159373792E-06","0,00968241439986873","2,26828802029381E-06","0,0178302511822237",0,0,0,0,0,0,package://rover_21_description/meshes/right_rear_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover_21_description/meshes/right_rear_link.STL,,Motor yatak-3;dıskapak-3;jant-6;jant-5;Kauçukv1-3,Origin_right_rear_joint,Axis_right_rear_joint,right_rear_joint,continuous,"-0,353922288632598","-0,3625","-0,150480055091568","-1,5707963267949","0,867399709619945",0,base_link,0,0,1,,,,,,,,,,,,
